key,issuetype,status,resolution,assignee_name,assignee_accountId,parent_key,labels,reporter_name,created,summary
CDM-660,Task,To Do,,,,CDM-80,IVD_L201_Validation|threshold_release,Eric Dixon,2026-02-26,DELFI-L201: Threshold Release - Clinical Data Snapshot Activities
CDM-661,Subtask,To Do,,,,CDM-660,,Eric Dixon,2026-02-26,Generate s3 folder locations for L201 Clinical Data
CDM-662,Subtask,To Do,,,,CDM-660,,Eric Dixon,2026-02-26,Draft and circulate the Clinical Data Snapshot Release Approval for team review
CDM-663,Subtask,To Do,,,,CDM-660,,Eric Dixon,2026-02-26,Finalize and Sign the Clinical Data Snapshot Release Approval form
CDM-664,Subtask,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-616,,Eric Dixon,2026-02-26,DELFI-L201: The deprecate ad hoc site specific google sheet write out
CDM-665,Subtask,To Do,,,,CDM-660,,Eric Dixon,2026-02-26,Complete Snapshot of Clinical Data Sets and supplemental files. 
CDM-666,Task,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-80,,Tony Wu,2026-03-02,Resolve multiple cancer records for Clario derivation in l201datar
CDM-667,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-145,,Eric Dixon,2026-03-03,Add unresolved queries sheet and pending sdv pages sheet
CDM-668,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-145,,Eric Dixon,2026-03-03,Create clean status column for threshold requirements based on the Clinical Data Cleaning Plan
CDM-669,Subtask,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-610,,Eric Dixon,2026-03-03,"Add new manually actioned column called ""Staging Information"" to the 4 Month Case Tracker, 12 Month Case Tracker, and LTFU Case Tracker"
CDM-670,Subtask,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-145,,Eric Dixon,2026-03-04,Investigate and remove participants without eval flags from CPT
CDM-671,Task,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,,,Eric Dixon,2026-03-05,DELFI-L201: Ad hoc site 1037 report
CDM-672,Subtask,Done,Done,Payam Khodabakhshi,624761f91da0e100713b0ac3,CDM-597,,Eric Dixon,2026-03-11,Sub-Solid Nodule Flag
CDM-673,Task,Done,Done,,,CDM-80,review,Sarah Merrill,2026-03-18,L201 Ad Hoc Listing Request for SEQSTER TRB
CDM-674,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-145,,Eric Dixon,2026-03-18,Add LTFU D912 completion / data entry status columns to CPT
CDM-675,Task,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-80,CDM-Tools|DQR_Listings,Tony Wu,2026-03-18,IE - PD Listing: New Sheet in Protocol Deviation Review DQR
CDM-676,Epic,To Do,,,,,IVD_L201_Validation,Shawn Gallagher,2026-03-23,L201 Data Snapshot for CV Readout
CDM-677,Epic,To Do,,,,,IVD_L201_Validation,Shawn Gallagher,2026-03-23,Data Snapshots for AV studies
CDM-678,Epic,To Do,,,,,IVD_L201_Validation,Shawn Gallagher,2026-03-23,AV and CV data sets for IVD Classifier Locking
CDM-679,Epic,To Do,,,,,4ITLR_Dataset,Shawn Gallagher,2026-03-23,4ITLR clinical participant and sample processing pipeline
CDM-680,Epic,To Do,,,,,4ITLR_Dataset,Shawn Gallagher,2026-03-23,4ITLR clinical and analytical dataset
CDM-681,Subtask,To Do,,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-174,,Eric Dixon,2026-03-23,update subsolid_nodule_flag with ADSL SSNFL variable
CDM-682,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-145,,Eric Dixon,2026-03-24,"Remove site 1047, 1009, 1045 from Threshold Analysis flag"
CDM-683,Subtask,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-145,,Eric Dixon,2026-03-24,Add Overall Clean Status column & Clean metrics table
CDM-684,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-145,,Eric Dixon,2026-03-25,Sites 1009 and 1045 are closing early and should not be included in the LTFUV D912 expected flag
CDM-685,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-145,,Eric Dixon,2026-03-30,Sites 1009 and 1045 are closing early and did not implement protocol v4 and therefore should be considered clean even if the medical history fields are not completed.
CDM-686,Subtask,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-675,,Eric Dixon,2026-04-01,IE - PD Listing sheet name/link is not populating in the Data Quality Review Manager
CDM-687,Subtask,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-145,,Eric Dixon,2026-04-02,Add Pages Requiring PI Signature to Clean Patient Tracker
CDM-688,Subtask,Done,Done,Eric Dixon,61df05f8ce3652006a2c82d2,CDM-145,,Eric Dixon,2026-04-09,Remove site 1047 from the site filter for the threshold analysis flag
CDM-689,Subtask,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-145,,Eric Dixon,2026-04-17,Remove Pending PI Signature Pages from clean status column derivation
CDM-690,Subtask,Done,Done,Tony Wu,712020:3d0c4367-a9fa-439d-a411-7df0463e6e99,CDM-145,,Eric Dixon,2026-04-22,Update Subjects sheet to include Overall Status columns
